,title,location,summary_review,review_score,movie_score,genre
34,Gunday,Dhaka,humiliate the liberation war of bangladesh 1971 ,1.0,2.0,Action
35,Gunday,"Sylhet, Bangladesh",humilation of bangladesh liberation war ,1.0,2.0,Action
36,Gunday,"Dhaka, Bangladesh",gunday : an extreme manipulation of bangladesh 's liberation war history ,1.0,2.0,Action
37,Gunday,"Dhaka, Bangladesh",a famous producer like aditya chopra should not have make this type of movie with fake history this be lame ... ,1.0,2.0,Action
38,Gunday,london,false statement against historical truth ,1.0,2.0,Action
39,Gunday,"London, England",* * * * * writer need to do more research before make a film * * * * * ,1.0,2.0,Action
40,Gunday,Dhaka,disgust movie :/ yuck ,2.0,2.0,Action
41,Gunday,"Dhaka, Bangladesh",most disrespectful offensive and humiliating to the history of bangladesh ,1.0,2.0,Action
42,Gunday,United Arab Emirates,history of bangladesh liberation war be wrongly plot ,1.0,2.0,Action
43,Gunday,Dhaka,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
44,Gunday,Bangladesh,a fake starting and history ,1.0,2.0,Action
45,Gunday,"Hartford, United States",shame on the whole team of this movie ,1.0,2.0,Action
46,Gunday,Canada,flase information and an awful movie ,2.0,2.0,Action
47,Gunday,Bangladesh,critic ,2.0,2.0,Action
48,Gunday,"Dhaka, Bangladesh",this movie 's story line contempt our liberation war ,1.0,2.0,Action
49,Gunday,bangladesh,this film have start disaster in bangladesh ,1.0,2.0,Action
50,Gunday,LONDON,appal plot poor fact find and bad possible act ,1.0,2.0,Action
51,Gunday,UNKNOWN,poor screenplay : writer must read history properly ,1.0,2.0,Action
52,Gunday,"Dhaka, Bangladesh",historically fraudulent laughable ... & offensive ,1.0,2.0,Action
53,Gunday,UNKNOWN,""" gunday "" humiliate history of bangladesh ",1.0,2.0,Action
54,Gunday,Bangladesh,please do not watch the movie have false information about bangladesh liberation war ,1.0,2.0,Action
55,Gunday,london,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
56,Gunday,"Dhaka, Bangladesh",bad movie ,1.0,2.0,Action
57,Gunday,"Dhaka, Bangladesh",abusive that ' all i can say ,1.0,2.0,Action
58,Gunday,Bangladesh,this movie change the history of the war of 1971 ,1.0,2.0,Action
59,Gunday,"Dhaka, Bangladesh",fake information ,1.0,2.0,Action
60,Gunday,"rangpur, bangladesh",bad movie ,1.0,2.0,Action
61,Gunday,UNKNOWN,the very best lame historical movie ever ,1.0,2.0,Action
62,Gunday,USA,shame pity ,2.0,2.0,Action
63,Gunday,"Dhaka, banglades",what the hell ,1.0,2.0,Action
64,Gunday,"Pabna, Bangladesh",manipulate bangladesh 's liberation war history ,1.0,2.0,Action
65,Gunday,Dhaka,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
66,Gunday,"NY, US",manipulate bangladesh 's liberation war history ,1.0,2.0,Action
67,Gunday,Bangladesh,protest ,1.0,2.0,Action
68,Gunday,Dhaka,fatal history distortion ,1.0,2.0,Action
69,Gunday,UNKNOWN,worst movie and manipulating bangladesh 's liberation war history ,1.0,2.0,Action
70,Gunday,Bangladesh,manipulation of bangladesh 's history of liberation war against pakistan ,1.0,2.0,Action
71,Gunday,Bangladesh,this movie contain wrong about history of liberation war of bangladesh ,1.0,2.0,Action
72,Gunday,"Dhaka, Bangladesh",we consider the mistake in your film to be unintended therefore apologize to u and correct the mistake or else we will have to take different action thank you ... ,1.0,2.0,Action
73,Gunday,"Chittagong, Bangladesh",bollywood movies- shitty as always ,1.0,2.0,Action
74,Gunday,Scotland,a critic 's comment ,1.0,2.0,Action
75,Gunday,United State,misrepresentation of a country 's libereation war history ,1.0,2.0,Action
76,Gunday,"Dhaka, Bangladesh",this be a waste of my time ,1.0,2.0,Action
77,Gunday,Bangladesh,gunday ( 2014 ) : totally a quack story ,1.0,2.0,Action
78,Gunday,Bangladesh,a rubbish with no background study and research ,1.0,2.0,Action
79,Gunday,"London, England",history misinterpret ,1.0,2.0,Action
80,Gunday,Bangladesh,no idea about history ,1.0,2.0,Action
81,Gunday,USA,worst movie with alteration of history ,1.0,2.0,Action
82,Gunday,UNKNOWN,where ' the button to rate it in negative ,1.0,2.0,Action
83,Gunday,Bangladesh,do not only apologize to u but correct the mistake ,1.0,2.0,Action
84,Gunday,"Dhaka, Bangladesh",be film maker uneducated ,1.0,2.0,Action
85,Gunday,UNKNOWN,history be not fiction dude specially when you be deal with a piece of it where 3 million people die ,1.0,2.0,Action
86,Gunday,Canada,this be a misrepresentation of the history ... ,1.0,2.0,Action
87,Gunday,USA,a bad try ,1.0,2.0,Action
88,Gunday,India,a time pas that  it ,6.0,2.0,Action
89,Gunday,Bangladesh,""" gunday "" -   a rabish movie ",1.0,2.0,Action
90,Gunday,Bangladesh,protest against alteration of history of liberation war of bangladesh ,1.0,2.0,Action
91,Gunday,Dhaka,bad script ,1.0,2.0,Action
92,Gunday,UNKNOWN,a deliberate distortion of a bloody history ,1.0,2.0,Action
93,Gunday,Bangladesh,shame ,1.0,2.0,Action
94,Gunday,Bangladesh,strong protest against the humiliation of history ,1.0,2.0,Action
95,Gunday,"halle(saale), Germany",waste of time and money ,1.0,2.0,Action
96,Gunday,the film very good good good 10.10,very very good film ,10.0,2.0,Action
97,Gunday,Canada,false historical presentation ,1.0,2.0,Action
98,Gunday,Pakistan,indian need only entertain movie they do not know others be hearted   but they need entertainment ,2.0,2.0,Action
99,Gunday,Bangladesh,strongly protest ,1.0,2.0,Action
100,Gunday,Bangladesh,waste of time and energy ,1.0,2.0,Action
101,Gunday,Bangladesh,bangladesh be not a product of india - pakistan war ,1.0,2.0,Action
102,Gunday,"Dhaka, Bangladesh.",yash raj film be a big name but it do not mean that u can change our history ,1.0,2.0,Action
103,Gunday,"Dhaka, Bangladesh",the movie be send a wrong message regard the freedom war of bangladesh to it ' viewer ,1.0,2.0,Action
104,Gunday,Bangladesh,shame for all of culprit of this movie maker ,1.0,2.0,Action
105,Gunday,birmingham,protest ,1.0,2.0,Action
106,Gunday,UNKNOWN,manipulation of bangladesh history ,1.0,2.0,Action
107,Gunday,"Dhaka, Bangladesh",gunday humiliated history of bangladesh ,1.0,2.0,Action
108,Gunday,Italy,about the worng historical background ,1.0,2.0,Action
109,Gunday,"Savar, Dhaka, Bangladesh",""" gunday "" a movie which be the face of indian thought against liberation war of   bangladesh ",1.0,2.0,Action
110,Gunday,Bangladesh,manipulate history ,1.0,2.0,Action
111,Gunday,Dhaka,manipulation and misrepresentation of bangladesh 's liberation war and it ' armed force ,1.0,2.0,Action
112,Gunday,Bangladesh,at beginning of this movie they change the history of bangladesh ,1.0,2.0,Action
113,Gunday,Dhaka,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
114,Gunday,"Dhaka, Bangladesh",historically inaccurate & offensive ,1.0,2.0,Action
115,Gunday,UNKNOWN,a movie full of lie and manipulation ,1.0,2.0,Action
116,Gunday,"Dhaka, Bangladesh",rubbish fairy(witch)tale ,1.0,2.0,Action
117,Gunday,Bangladesh,i strongly protest as a bangladeshi ,1.0,2.0,Action
118,Gunday,Bangladesh,it ' a mockery of pride and history of bangladesh ,1.0,2.0,Action
119,Gunday,United States of America,this movie should be sued and yash raj film should be take to the court of justice ,1.0,2.0,Action
120,Gunday,India,gunday- grow up yrf lame script and awful direction may help you   financially but be that enough ,4.0,2.0,Action
121,Gunday,"magdeburg, Germany",i strongly protest as a bangladeshi ,1.0,2.0,Action
122,Gunday,United Kingdom,corruption of history ,1.0,2.0,Action
123,Gunday,London,a film which tamper a country honor and independent ,2.0,2.0,Action
124,Gunday,Bangladesh,the big lie ,1.0,2.0,Action
125,Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
126,Gunday,Paris,gunday - worst story ever but good actor ,1.0,2.0,Action
127,Gunday,Bangladesh,completely nonsense ,1.0,2.0,Action
128,Gunday,UNKNOWN,play video game ,1.0,2.0,Action
129,Gunday,Bangladesh,contains twisted international history ,1.0,2.0,Action
130,Gunday,dhaka,it give false information about liberation war of banglladesh ,1.0,2.0,Action
131,Gunday,Bangladesh,a close observation from a bangladeshi viewer ,2.0,2.0,Action
132,Gunday,"Dhaka, Bangladesh",wrong history ,1.0,2.0,Action
133,Gunday,dhaka,morality of the movie ,1.0,2.0,Action
134,Gunday,UNKNOWN,gunday the bad film ever make in history ,1.0,2.0,Action
135,Gunday,"Khulna, Bangladesh",misrepresentation of the history ( most importantly ) ,1.0,2.0,Action
136,Gunday,UNKNOWN,wrong history ,1.0,2.0,Action
137,Gunday,Bangladesh,only hate for this film and its associate ,1.0,2.0,Action
138,Gunday,"Nuernberg, Germany",manipulation of of the liberation war of bangladesh misleading fact overall disrespectful ,1.0,2.0,Action
139,Gunday,UNKNOWN,this be a total disgrace .... ,2.0,2.0,Action
140,Gunday,"New York, United States","insult bangladesh history,tradition by put fake story ",1.0,2.0,Action
141,Gunday,"Dhaka, Bangladesh",review ,1.0,2.0,Action
142,Gunday,"Dhaka, Bangladesh",wrong history lawra ,1.0,2.0,Action
143,Gunday,Bangladesh,rat -1.00 .... ... world most baddest movie ever   ... ,1.0,2.0,Action
144,Gunday,"dhaka, bangladesh",this film be pervert our liberation war ,1.0,2.0,Action
145,Gunday,"dhaka, Bangladesh",manipulate bangladesh 's liberation war history protest as a bangladeshi ,1.0,2.0,Action
146,Gunday,United States,bad movie ,1.0,2.0,Action
147,Gunday,UNKNOWN,pseudo - intellectualism ,2.0,2.0,Action
148,Gunday,"Sheffield, England",its such a shame for yrf ,1.0,2.0,Action
149,Gunday,Dhaka,yrf insult the history ,1.0,2.0,Action
150,Gunday,UNKNOWN,a movie be a work of fiction but when it use historical fact that should be accurate ,1.0,2.0,Action
151,Gunday,Bangladesh,false information about bangladesh 's liberation war ,1.0,2.0,Action
152,Gunday,UNKNOWN,rubbish storyline and base on false information about liberation war of bangladesh 1971 ,1.0,2.0,Action
153,Gunday,Bangladesh :),i protest against the idiocy of the movie ,1.0,2.0,Action
154,Gunday,Bangladesh,bullsit movie ,1.0,2.0,Action
155,Gunday,Japan,a movie base on fallacy and cheap business ,1.0,2.0,Action
156,Gunday,"Dhaka, Bangladesh",this be a slap on the face of all the people of bangladesh ,1.0,2.0,Action
157,Gunday,Bangladesh,manipulation of history ,1.0,2.0,Action
158,Gunday,Bangladesh,crap that crap crap ,1.0,2.0,Action
159,Gunday,"Mymensingh, Bangladesh",it ' manupulated the history ,1.0,2.0,Action
160,Gunday,Dhaka bangladesh,disgust ,1.0,2.0,Action
161,Gunday,UNKNOWN,very bad story a good try to temper the history ,1.0,2.0,Action
162,Gunday,"Bremen, Germany",insane title by manipulate the history ,1.0,2.0,Action
163,Gunday,United States,there ' nothing but distortion of great history ... such a nasty film ,1.0,2.0,Action
164,Gunday,United States,the bad movie in history for plot bangladesh history wrongly ,1.0,2.0,Action
165,Gunday,United States,indian people should know how to respect others ,1.0,2.0,Action
166,Gunday,United States,gunday be a rubbish and foul movie ,1.0,2.0,Action
167,Gunday,Pakistan,dear yashraj film authority greeting ,1.0,2.0,Action
168,Gunday,"Zanzibar, Tanzania",excellent act interesting plot stunning locale and cinematography ,10.0,2.0,Action
169,Gunday,UK,comedy film excellent ,10.0,2.0,Action
170,Gunday,India,gunday be daring attempt to come out this year ,2.0,2.0,Action
171,Gunday,United States,one of the bad hindi movie i have ever see ,1.0,2.0,Action
172,Gunday,Bangladesh,rotten tomatoo ,1.0,2.0,Action
173,Gunday,India,"misleading,fraudulent disrespectful to the sovereignty of a nation ",1.0,2.0,Action
174,Gunday,Bangladesh,protest ,1.0,2.0,Action
175,Gunday,Bangladesh,how bollywood release this kind of movie ,1.0,2.0,Action
176,Gunday,Dhaka,bad movie plot in the history of cinema ,1.0,2.0,Action
177,Gunday,Bangladesh,protest on present wrong history ,1.0,2.0,Action
178,Gunday,"Dhaka, Bangladesh",historically fraudulent laughable ... & offensive ( most importantly ) ,1.0,2.0,Action
179,Gunday,Kolkata,factually inaccurate and a total killjoy ,1.0,2.0,Action
180,Gunday,"Dhaka, Bangladesh",disturb and creepy foolish attempt and someone kill me before i get into a hate - group of hindustan cheesiness ,1.0,2.0,Action
181,Gunday,"Dhaka, Bangladesh",what if a movie on devyani khobragade would contain a storyline that she be actually a prostitute in the u ,1.0,2.0,Action
182,Gunday,"New York, United States",learn to respect ,1.0,2.0,Action
183,Gunday,"Sylhet, Bangladesh",show the proper respect to a nation ,1.0,2.0,Action
184,Gunday,Bangladesh,i be against you as a bangladeshi ,1.0,2.0,Action
185,Gunday,"Dhaka, Bangladesh",the intro be fake ,1.0,2.0,Action
186,Gunday,"Dhaka, Bangladesh",a movie base on false history ,1.0,2.0,Action
187,Gunday,Bangladesh,manipulate bangladesh 's liberation war history ,1.0,2.0,Action
188,Gunday,Bangladesh,main story be a war between bangladesh and pakistan that be happen on 1971 but the movie director change the story and tell that war be between india and pakistan ,1.0,2.0,Action
189,Gunday,United Kingdom,fraud with history ,1.0,2.0,Action
190,Gunday,India,total masala movie which you just love to watch ,7.0,2.0,Action
191,Gunday,India,good fare though historically incorrect ,6.0,2.0,Action
192,Gunday,west midlands,rubbish act   ranveer singh arjun kapoor priyanka chopra waste of time poor ,1.0,2.0,Action
193,Gunday,Bangladesh,wrong history of bangladesh liberation war ,1.0,2.0,Action
194,Gunday,"London, England",wrong time line ,1.0,2.0,Action
195,Gunday,"Gurgaon, India",despicable ,2.0,2.0,Action
196,Gunday,Bangladesh,humiliating bangladeshi liberation war ,1.0,2.0,Action
197,Gunday,Toronto,very shameful act by the producer ,2.0,2.0,Action
198,Gunday,Bangladesh,distortion of the history of our liberation war ,1.0,2.0,Action
199,Gunday,Australia,apology be not enough ,1.0,2.0,Action
200,Gunday,Bangladesh,india 's worst ,1.0,2.0,Action
201,Gunday,Bangladesh,should bring them to justice for gunday ,1.0,2.0,Action
202,Gunday,"London, England",a pathetic historical movie ever see ,1.0,2.0,Action
203,Gunday,Bangladesh,the most ugly and lie historical movie in indian industry ,2.0,2.0,Action
204,Gunday,united states,protest ,1.0,2.0,Action
205,Gunday,Bangladesh,rubbish story line bad acting a complete waste of time ,1.0,2.0,Action
206,Gunday,"London, England",irrelevant information and time waste event ,1.0,2.0,Action
207,Gunday,london,say no to gunday ,1.0,2.0,Action
208,Independents' Day,"Boston, MA",we know how this one will go without even watch it ... ,1.0,1.8,Action
209,Independents' Day,UNKNOWN,true rating -1 ,1.0,1.8,Action
210,Independents' Day,United Kingdom,oh good grief ,1.0,1.8,Action
211,Independents' Day,United Kingdom,i enjoy this but i suggest wait until it ' in the $ 1 bin ,4.0,1.8,Action
212,Independents' Day,Mexico,do not bother ,1.0,1.8,Action
213,Independents' Day,New York City,one of the bad movie in a long long time ,1.0,1.8,Action
214,Independents' Day,London,please please stay away from this movie ,1.0,1.8,Action
215,Independents' Day,UNKNOWN,inane bread loaf for few ,1.8,1.8,Action
216,Independents' Day,"Cleveland, Ohio","not the sequel to "" independence day "" ( 1996 ) ",1.0,1.8,Action
217,Independents' Day,UNKNOWN,sh*t sandwich ,1.0,1.8,Action
218,Independents' Day,New Zealand,bad poorly act ,1.0,1.8,Action
219,Independents' Day,United States,do not spend a dime on this one ,1.0,1.8,Action
220,Independents' Day,Netherlands,wow that bad huh ,2.0,1.8,Action
221,Independents' Day,United Kingdom,this movie be remarkable ,1.0,1.8,Action
222,Independents' Day,United States,independent day perfect b movie scfi action ,5.0,1.8,Action
223,Independents' Day,"London, England",bad really bad ,1.0,1.8,Action
224,Independents' Day,Sweden,do not even waste 2 minute of your life on this ,1.0,1.8,Action
225,Independents' Day,India,pathetic movie i have ever see ,1.0,1.8,Action
226,Independents' Day,"London, UK",the bad i have see ever ,1.0,1.8,Action
227,Independents' Day,UNKNOWN,c'mon people lighten up and lower your expectation a bit ( mild spoiler ) ,4.0,1.8,Action
228,Independents' Day,UNKNOWN,sarah pallin ,1.0,1.8,Action
229,Independents' Day,United States,the worst movie ,1.0,1.8,Action
230,Independents' Day,United States,may make sense if it be truly a ' spoof ' ,10.0,1.8,Action
231,Independents' Day,Holland,can sci - fi really be that bad ,1.0,1.8,Action
232,Independents' Day,United States,good movie for low budget ,10.0,1.8,Action
233,Independents' Day,United States,people be confused about this film ,10.0,1.8,Action
234,Independents' Day,UNKNOWN,ok movie for a low budget film but not good enough to be a must see film ,3.0,1.8,Action
235,Spy Kids 3-D: Game Over,United Kingdom,the 3-d thing do not work for me but there be still enough style and silliness to amuse both kid and adult ,4.1,4.1,Action
236,Spy Kids 3-D: Game Over,United States,irredeemably stupid ,5.0,4.1,Action
237,Spy Kids 3-D: Game Over,http://www.danheller.com/movies,fun for the little one but the series be get stale ,4.1,4.1,Action
238,Spy Kids 3-D: Game Over,United Kingdom,fun but not overwhelming ,6.0,4.1,Action
239,Spy Kids 3-D: Game Over,madagascar,my kid like it ,4.1,4.1,Action
240,Spy Kids 3-D: Game Over,"Austin, Texas",would have be average at best without the 3-d ... ,1.0,4.1,Action
241,Spy Kids 3-D: Game Over,Virginia Beach,latin magic ,4.1,4.1,Action
242,Spy Kids 3-D: Game Over,UNKNOWN,it may be 3-d but the film be still flat ,4.1,4.1,Action
243,Spy Kids 3-D: Game Over,UNKNOWN,the spy kid franchise end on a bad note ,2.0,4.1,Action
244,Spy Kids 3-D: Game Over,Salt Lake City,game over indeed ,1.0,4.1,Action
245,Spy Kids 3-D: Game Over,UNKNOWN,surpass all expectation ,10.0,4.1,Action
246,Spy Kids 3-D: Game Over,UNKNOWN,if you have any sense do not watch this movie ,1.0,4.1,Action
247,Spy Kids 3-D: Game Over,United Kingdom,an exciting adventure for mostly little kid - see it in your 3-d glass ,8.0,4.1,Action
248,Spy Kids 3-D: Game Over,Australia,virtual fun make this third installment virtually the best one ,7.0,4.1,Action
249,Spy Kids 3-D: Game Over,United Kingdom,cheesy comic fun ,7.0,4.1,Action
250,Spy Kids 3-D: Game Over,United States,well - put-together film ,6.0,4.1,Action
251,Spy Kids 3-D: Game Over,UNKNOWN,while rodriguez be clearly a gifted filmmaker he let the 3-d hamper his creative imagination .... ,7.0,4.1,Action
252,Spy Kids 3-D: Game Over,"Santa FE, New Mexico",cute and better than the second ,7.0,4.1,Action
253,Spy Kids 3-D: Game Over,Australia,3d that ' good ,4.1,4.1,Action
254,Spy Kids 3-D: Game Over,United States,flippies ridiculous ,10.0,4.1,Action
255,Spy Kids 3-D: Game Over,UNKNOWN,surpass all expectation ,10.0,4.1,Action
256,Spy Kids 3-D: Game Over,United States,lose in computer - land ,10.0,4.1,Action
257,Spy Kids 3-D: Game Over,Tokyo,very cool fun ,7.0,4.1,Action
258,Spy Kids 3-D: Game Over,"New York, USA",horrid ,1.0,4.1,Action
259,Spy Kids 3-D: Game Over,"DG, IL",come on people give it a break ,10.0,4.1,Action
260,Spy Kids 3-D: Game Over,Southampton England,a disappointing end to the series ,4.1,4.1,Action
261,Spy Kids 3-D: Game Over,United States,i like all 3 spy kid movie but part 3 be the best ,10.0,4.1,Action
262,Spy Kids 3-D: Game Over,"Dallas, Texas",it be the cool movie i have   ever see ,10.0,4.1,Action
263,Spy Kids 3-D: Game Over,"Saranac, NY",i think this film be great ,8.0,4.1,Action
264,Spy Kids 3-D: Game Over,United States,no ,1.0,4.1,Action
265,Spy Kids 3-D: Game Over,UNKNOWN,so many thing ,3.0,4.1,Action
266,Spy Kids 3-D: Game Over,Canada,please let the game be over ,5.0,4.1,Action
267,Spy Kids 3-D: Game Over,United States,the 3d effect installment ,8.0,4.1,Action
268,Spy Kids 3-D: Game Over,United Kingdom,devious stallone the star of celebrity fill kid flick ,7.0,4.1,Action
269,Spy Kids 3-D: Game Over,"Da_Hot_Spot, GA",really good ,4.1,4.1,Action
270,Spy Kids 3-D: Game Over,"Winnipeg, Manitoba, Canada",keep in mind that i do not see the first 2 ,4.1,4.1,Action
271,Spy Kids 3-D: Game Over,"Austin, TX",the game just may be over ... ,4.1,4.1,Action
272,Spy Kids 3-D: Game Over,"Seattle, WA",your reward ,4.1,4.1,Action
273,Spy Kids 3-D: Game Over,"Sydney, Australia",creative story poor vision ,7.0,4.1,Action
274,Spy Kids 3-D: Game Over,"Michigan, USA",half a good movie ,5.0,4.1,Action
275,Spy Kids 3-D: Game Over,"Metairie, Louisiana",not to good the third time around ,4.1,4.1,Action
276,Spy Kids 3-D: Game Over,Cornwall. England,cynicism they name be hollywood ( as if we do not know ) ,4.1,4.1,Action
277,Spy Kids 3-D: Game Over,United States,one helluva surprise ,7.0,4.1,Action
278,Spy Kids 3-D: Game Over,AB Canada,a fitting coda to a modestly well do series of film ,4.1,4.1,Action
279,Spy Kids 3-D: Game Over,"California, U.S. of A.",some may hate some may love worth see though ,4.1,4.1,Action
280,Spy Kids 3-D: Game Over,England,' great story mom but it need a new ending ' - carmen cortez spy kid 1 - spoiler ,4.1,4.1,Action
281,Spy Kids 3-D: Game Over,UNKNOWN,the spy kid movie be start to sag ( spoiler ) ,4.1,4.1,Action
282,Spy Kids 3-D: Game Over,"London, England",3-d thing be a waste of time ,8.0,4.1,Action
283,Spy Kids 3-D: Game Over,"Wisconsin, U.S.A.",oh   my eye ,4.1,4.1,Action
284,Spy Kids 3-D: Game Over,Florida,i like this better ... when it be call tron. ,3.0,4.1,Action
285,Spy Kids 3-D: Game Over,In the Matrix,improved from 2nd one ,4.1,4.1,Action
286,Spy Kids 3-D: Game Over,Canada,oooo my eye hurt ... what be this about anyway ,5.0,4.1,Action
287,Spy Kids 3-D: Game Over,UNKNOWN,3-d as in three time dumb than its predecessor ,4.1,4.1,Action
288,Spy Kids 3-D: Game Over,AZ,good movie star movie star ,4.1,4.1,Action
289,Spy Kids 3-D: Game Over,"Doc Monster Labs, NJ",i spy with my little eye - crap ,4.1,4.1,Action
290,Spy Kids 3-D: Game Over,UNKNOWN,thin story save by great special fx ,4.1,4.1,Action
291,Spy Kids 3-D: Game Over,UNKNOWN,its ok ,4.1,4.1,Action
292,Spy Kids 3-D: Game Over,"Syracuse, NY",it ' tron for kid ,4.1,4.1,Action
293,Spy Kids 3-D: Game Over,Down the road from WDW,one big commercial ,4.1,4.1,Action
294,Spy Kids 3-D: Game Over,California,great but somethings be not so great ,4.1,4.1,Action
295,Spy Kids 3-D: Game Over,"Miami, Fl",i think it need more effort ,4.1,4.1,Action
296,Spy Kids 3-D: Game Over,"Pittsburgh, PA",game over i could not wait for this movie to be over ,4.1,4.1,Action
297,Spy Kids 3-D: Game Over,England,3-disappoint ,4.1,4.1,Action
298,Spy Kids 3-D: Game Over,Canada,not the great 3-d effect ,4.1,4.1,Action
299,Spy Kids 3-D: Game Over,"London, England",what a way to go ,8.0,4.1,Action
300,Spy Kids 3-D: Game Over,UNKNOWN,an abomination ,4.1,4.1,Action
301,Spy Kids 3-D: Game Over,"Rumson, NJ",it ' a kid 's flick and my kid be satisfied ,4.1,4.1,Action
302,Spy Kids 3-D: Game Over,Toronto,positive vibe spin on the matrix with scene from star war ,4.1,4.1,Action
303,Spy Kids 3-D: Game Over,UNKNOWN,it be still a great kid movie ,9.0,4.1,Action
304,Spy Kids 3-D: Game Over,"Green Bay, WI",this be the bad ,4.1,4.1,Action
305,Spy Kids 3-D: Game Over,"Warren, MI  USA",i know this be a kid 's movie but ... ,5.0,4.1,Action
306,Spy Kids 3-D: Game Over,"Coral Springs, FL",its a kid movie fer - christ-sake ,6.0,4.1,Action
307,Spy Kids 3-D: Game Over,"Lexington, Massachusetts",despite clever use of 3-d only a mediocre effort ,5.0,4.1,Action
308,Spy Kids 3-D: Game Over,uzbekistan,this movie be goddamn good i will fight anyone who say otherwise ,4.1,4.1,Action
309,Spy Kids 3-D: Game Over,Cincinnati Ohio,the kid love it the parent loathe it ,4.0,4.1,Action
310,Spy Kids 3-D: Game Over,Hindman KY,big spy kid fan ,4.1,4.1,Action
311,Spy Kids 3-D: Game Over,Philly,' spy kid 3-d : game over ' be just a fun summer movie ,4.1,4.1,Action
312,Spy Kids 3-D: Game Over,St.Paulm MN,self indulgent waste of electricity ,1.0,4.1,Action
313,Spy Kids 3-D: Game Over,"Houston, TX",thank goodness it ' game over ,1.0,4.1,Action
314,Spy Kids 3-D: Game Over,california,what a let down ,3.0,4.1,Action
315,Spy Kids 3-D: Game Over,Kansas City,well what kind of script can you really expect ,1.0,4.1,Action
316,Spy Kids 3-D: Game Over,"Dayton, Ohio",headache cause summer film ,4.0,4.1,Action
317,Spy Kids 3-D: Game Over,UNKNOWN,great movie for kid ,8.0,4.1,Action
318,Spy Kids 3-D: Game Over,UNKNOWN,better than the first 2-d  ,7.0,4.1,Action
319,Spy Kids 3-D: Game Over,NJ,definitely fun for the kid ,8.0,4.1,Action
320,Spy Kids 3-D: Game Over,"Ottawa, ON",not the best in the franchise but ... ,6.0,4.1,Action
321,Spy Kids 3-D: Game Over,UNKNOWN,spy kid 3-d : a pain in the eye ,4.1,4.1,Action
322,Spy Kids 3-D: Game Over,"Pleasant Prairie, Wi.",nice 3d effect ,8.0,4.1,Action
